order_id,user_id,order_dow,order_hour_of_day
3367565,1,2,7
419099,27,1,10
3333738,30,1,8
244623,46,0,12
1339168,54,6,11
1967453,54,6,21
2028484,65,4,15
2883656,73,6,18
917141,73,0,13
1506191,80,2,8
3327421,86,1,17
3200018,87,3,8
2428804,89,1,12
91180,89,0,12
3253855,91,4,14
594895,112,1,11
2690698,118,5,9
1626588,122,6,17
1725511,132,3,8
3394074,133,2,15
1592314,138,0,9
2477065,147,0,14
742416,153,5,13
2616266,154,0,21
3123006,161,0,15
2993890,166,3,6
2119357,173,1,19
1796668,173,4,9
1065067,173,1,11
124049,200,5,13
3188773,219,1,20
2868789,219,4,10
3270153,222,3,14
3321854,222,1,14
243116,243,5,15
3406038,247,3,16
1696774,254,0,11
2601975,257,2,12
3400588,290,6,11
2306683,297,0,18
3183343,300,3,12
1230527,300,6,9
2992454,307,5,10
1426625,313,1,10
2027410,315,0,23
1310568,315,1,11
335275,316,4,9
2242582,319,5,6
1906554,322,0,13
621336,323,4,9
2477841,326,1,16
503771,334,6,10
1929517,348,3,7
1347570,352,2,21
2183817,370,4,4
887842,373,5,15
2250353,374,0,11
1640044,382,1,16
2877559,384,1,8
1228978,390,6,15
803264,390,2,17
1431644,398,4,17
1362843,404,6,11
1732187,406,2,13
323816,410,0,13
3061725,411,0,17
3283188,422,1,15
3154347,423,2,14
2861019,435,2,19
1664011,455,5,10
1020064,459,4,22
3163752,462,3,16
3140799,462,2,17
740547,471,2,16
998282,476,0,19
2896767,481,3,20
1655026,484,4,10
3062750,487,6,20
53865,495,3,17
1260886,497,1,12
797018,511,6,18
921245,525,2,7
1811490,528,0,16
1487618,528,0,13
2762199,531,4,12
721846,560,1,10
1517477,564,6,11
48196,573,5,14
325506,575,5,21
1436920,580,0,11
235749,582,2,15
972182,589,0,11
2210600,593,0,12
926809,606,4,10
1470167,612,3,12
1596262,613,1,12
1490702,618,0,13
1987794,619,1,14
1331738,621,0,15
1108971,625,4,14
1051850,626,3,14
2812626,651,3,23
3032047,652,2,18
2293600,658,5,19
2471371,661,2,9
3229317,664,0,11
539043,669,5,6
2686887,679,1,18
368279,687,2,14
2188085,690,0,12
2513352,690,3,16
2886836,699,5,7
1487718,713,3,16
3192757,737,0,12
2932682,737,0,4
1413430,741,5,20
491898,747,5,10
2246933,756,0,11
2278226,773,0,3
1504208,778,2,0
456763,789,2,11
551043,790,6,12
2019482,791,4,13
715027,797,0,15
310657,802,4,10
581808,812,2,12
3143617,818,2,10
1892746,818,6,13
2687670,832,1,17
1084398,855,6,21
1422402,862,4,13
1913754,864,0,5
2833694,868,6,19
2249785,868,6,7
327121,868,4,10
3031198,870,5,12
1984028,871,3,21
1507046,879,0,15
322900,880,5,17
2140944,888,2,13
354592,891,6,15
1014726,893,0,10
217183,935,6,7
2608157,950,4,11
1182819,952,6,13
3138460,958,0,13
2766069,960,5,11
75997,961,1,16
3386632,962,4,14
1496387,962,4,20
2897539,964,5,9
2279953,974,6,12
785983,980,2,13
2123446,980,1,13
20345,999,6,21
162589,1004,0,23
1958609,1004,0,17
99648,1005,3,3
1363470,1018,0,13
2073161,1022,3,18
2355365,1029,4,9
1899602,1044,6,15
2788023,1049,0,15
1631451,1058,0,11
3022355,1059,1,6
802554,1059,1,15
2209748,1059,1,15
2517731,1059,0,15
2830619,1075,4,12
1013146,1077,2,7
3368749,1087,1,13
15354,1103,3,11
2650466,1103,3,10
2149178,1109,1,16
1186517,1111,3,9
2999631,1113,1,21
3360683,1120,5,8
2004495,1120,6,11
3217755,1138,5,17
28705,1140,3,11
130978,1147,0,12
937859,1150,5,14
1529550,1157,6,14
2430954,1164,0,21
3351810,1170,4,12
1376924,1188,0,15
2464723,1197,1,9
366597,1208,0,16
2807650,1213,2,17
2602361,1225,0,19
1321059,1231,4,18
1094757,1231,0,11
2425838,1231,0,12
1718603,1241,4,20
174992,1246,3,12
832915,1257,4,10
3053496,1285,5,16
2237700,1287,3,9
2592330,1310,5,12
3069194,1310,6,20
1764737,1310,3,11
25683,1321,1,22
3137065,1327,6,16
1880285,1333,2,14
2399595,1340,6,13
1340918,1344,4,11
2126088,1346,1,18
3365943,1356,6,17
385356,1359,6,15
236813,1359,1,21
1017671,1365,0,9
1677611,1380,3,18
2028570,1389,1,13
611967,1391,0,19
1891102,1398,3,15
3333431,1400,2,11
1122524,1408,2,17
3249654,1408,4,14
323732,1420,2,9
400194,1420,5,8
2283057,1420,3,7
4814,1423,6,11
1197922,1426,5,19
3116566,1428,1,7
2787608,1430,3,14
981991,1433,0,12
2517195,1438,5,9
